average_salary,Industry
72432712.0383234,Telecommunications
70000000.0,Aerodpace
64416039.5,Art museum
64356859.7142857,Media Production
54966056.3542424,Utility
48150486.8021277,Professional Services
45403818.7169811,Museums
42377601.4124341,Legal
36718872.0,Corporate Finance
32567125.0,Tech Recruiting
27600000.0,TEFL
26017107.9457895,Healthcare Research
25000000.0,ATM Industry
22254679.6363636,Childcare
19325210.3492064,Fintech
18915728.6637,Engineering
18800034.496996,Advertising
15682219.0,Consumer Software & Hardware
14522000.0,Data and technology
12880000.0,Equipment Supplier
12522420.0,Expert Networking
12300020.0,Biotech Venture Capital
12100000.0,FinReg
11524945.0,Judiciary (Gov't.)
11221348.5714286,Healthcare/ Long Term Care
10960000.0,Uk Film Industry
10700000.0,IT for a B2B services company
10500000.0,Car and Technology
9900000.0,Design/Engineering
9742588.56923077,Logistics
9600000.0,early intervention pediatric therapy
9373421.42857143,Video Production
9031000.0,Power Utility
9000000.0,Sign
8500000.0,Tech Security
8456678.33333333,IT Management
8387700.0,US Navy-civil servant
8300000.0,Union
8300000.0,Trade shows and conventions
8260000.0,NGO/Advocacy
8200000.0,Revenue Cycle Management
8050000.0,Traffic
8000000.0,Electical Energy
7800000.0,Ad Tech/MarTech
7400000.0,Laser / Electro-Optics
6800000.0,Midstream Oil & Gas Transportation
6700000.0,Esports
6552500.0,Retail/Fashion Apparel
6500000.0,railcar repair
5990000.0,Grocery/Foodservice (Wholesale)
5800010.0,Gaming - Lottery
5799442.69230769,Recruiting
5785007.5,Tech/SaaS
5730000.0,Assisted living
5535674.66666667,Material Sciences
5500000.0,Online Payments
5480000.0,Medical Social Work
5421221.5,Federal Employee
5372304.0,planning and constructing
5095000.0,Oilfield Service
5050094.0,Charity fundraising
5000000.0,Workers Compensation Health Care
5000000.0,DIstrict Attorneys Office
4902500.0,Tribal Government
4834814.0,Research / Finance
4800000.0,Foreign Exchange
4795000.0,Relocation/Global Mobility
4452500.0,Further and Higher Education
4438367.0,Postal
4400000.0,Cabinet
4322500.0,NFP Cultural Institution
4275067.0,Garbage
4153050.0,Independent Contractor
4146649.22580645,Food Service
3926000.0,Law/Legal
3913485.5,Legal Technology
3856200.0,Science and Engineering
3774724.0,Pet Hardgoods
3568531.0,Leave of Absence Management
3551610.0,Equipment
3536250.0,Tax Consulting
3402333.33333333,Veterinary Healthcare
3396250.0,Wine & Spirits
3371653.33333333,Clergy
3368000.0,Nursing/healthcare
3175000.0,Plumbing
3034764.54545455,Printing
3014000.0,Arts / Theatre / NFP
2964888.94823529,Technology - Software
2923408.75,Charity retail
2908295.0,Apparel and Footwear
2662500.0,Motion Pictures
2662400.0,Retirement Community
2545958.0,State Govenment
2502869.88888889,Wholesale
2347531.56615385,FMCG
2264433.33333333,Economic Development
2250002.0,Fitness Gym
2237000.0,Govt
2175408.57142857,Medical Equipment
2127002.31578947,Academic science
2008611.11111111,Real Estate Investment
2005000.0,Criminal Justice
2000007.0,Garbage collection
1986000.0,Municipal
1902750.0,Cultural Exchange
1902560.8,Automotive Dealership
1885333.33333333,Retail tech
1844000.0,Healthcare (Hospital)
1814600.0,Advancement
1784071.42857143,Railroad
1776250.0,Private school
1761750.0,Textile
1756750.0,Law firm
1748692.5,Defense/Aerospace
1713949.33333333,Community services
1688250.0,Self employed
1685149.13333333,CG
1674175.0,Real Estate Development
1661841.66666667,Animation
1655354.05405405,Healthcare Software
1616449.16666667,Labor Union
1573582.05555556,Law Enforcement
1566415.275625,Ecommerce
1563127.66666667,Public University
1518200.0,Retail (food co-op)
1495904.815,Rail
1494500.0,Digital
1458091.0,Pensions
1443077.42181818,Packaging
1400737.89054326,Insurance
1397333.33333333,Outdoor industry
1381933.33333333,Music Industry
1371830.0,Research and Development
1336555.55555556,Biopharmaceuticals
1324441.14285714,Online Retail
1308000.0,Health & Beauty
1299200.0,Venture Capital
1292841.725,Medicine
1288000.0,Casino
1286022.75,Asset Management
1276951.07142857,Broadcast
1250262.28571429,Intellectual Property
1218355.83333333,Research (academia)
1200712.0,Debt Collection
1200000.0,Heating and air
1191700.0,Public Transit
1176142.85714286,Business Consulting
1170500.0,Radio Broadcasting
1162126.82352941,Dental
1111890.36363636,Automotive Retail
1077916.24347826,Post-Secondary Education
1065892.625,Secondary Education
1027700.0,Bar/Restaurant
1003933.33333333,Print
1000000.0,Basic materials
959700.0,Emergency Management - Government
936066.666666667,Medical Libraries
920000.0,Highly-engineered Industrial
918126.25,Wastewater
911296.363636364,DoD Contractor
887768.947368421,University education
886317.46875,Municipal Government
885400.0,Supply chain management
876204.0,Affordable Housing
841703.369551282,Medical Devices
822637.166666667,University
812175.36,Audit
808509.12,Military
791888.181818182,Digital Advertising
771538.718888889,Library
760853.578947368,Theatre
740512.4,Charity (Non Profit)
724016.0,IT Security
697678.888888889,Food and Beverage
689342.588235294,HVAC
660005.0,Medicare insurance
654922.194431555,Retail
607453.636363636,Water
600000.0,Hedge Fung
600000.0,Health Indurance
582287.729032258,Environmental Consulting
555900.0,Archaeology
554386.888888889,Distribution
550000.0,Trading
548771.428571429,Credit Union
542900.0,Photography
536451.988307692,Sales
536038.333333333,Residential Construction
532062.108333333,Design
527595.125,Computers
519213.157894737,CPG
517435.866666667,Health Insurance
515682.727272727,Film
503818.829285714,Education/Publishing
501859.375,Performing Arts
500000.0,Legal - AmLaw 100 Firm
500000.0,Heatlcare
479611.538461538,Mortgage
476279.722222222,Food Manufacturing
472886.869565217,Property Management
471308.685714286,Security
464547.857142857,Web Development
453644.247241509,Entertainment
444114.285714286,Newspaper
425000.0,Physician
420967.378378378,Clinical Research
420000.0,Adult Film
414173.318955043,Technology
404152.719167534,Government
400000.0,Tech Hardware Sales
400000.0,Freedom
380041.333333333,K-12 Education
378167.358095238,Civil Service
378138.198224852,Information Technology
378097.846534653,Real Estate
377359.615384615,Medical Research
375008.0,faith-based nonprofit
374077.858899676,Banking
368053.529361702,Health
367595.333333333,Biomedical Research
365875.416206897,Defense
355890.0,Teaching
353409.189189189,Mining
350000.0,RV
349035.246576577,Healthcare IT
347920.005780347,Transportation
347206.357142857,Education Technology
333800.0,Attorney
332446.694827586,Federal Government
331318.181818182,Arts Administration
323554.0,Petrochem
322783.675,Human Resources
322584.285714286,Restaurants
320000.0,Nuclear Demolition
318954.821428571,Defense Contracting
315000.0,Law (BigLaw)
313195.368794326,Public Library
312865.0,Tax and Accounting
310000.0,Security GRC
308078.205128205,Semiconductor
306969.090909091,Educational Technology
304633.604166667,Electronics
300000.0,Vocational Rehabilitation
300000.0,Solar Sales
300000.0,Phamaceuticals
300000.0,Music label
300000.0,Capital human solutiond
300000.0,Branded Content/Publishing
297500.0,Food Distribution
295568.0,Rent To Own
295388.679012346,Aviation
294583.35483871,Utilities
290000.0,Recyling Industry
288962.0,Biology - Academia
287620.149733333,Mental Health
286000.0,Live Events
280000.0,Police
280000.0,Blockchain
275000.0,Travel tech
275000.0,Finacne
274271.116885246,Libraries
270000.0,Taxation and accounting
270000.0,Mobile devices
268485.034482759,Pharmacy
265548.703703704,Service
251082.303030303,Public Education
250423.333333333,Human Services
250000.0,Silicon engineering
250000.0,Service Businesses
250000.0,Law (Boutique Firm)
250000.0,Design/Marketing/Advertising
250000.0,Dental care
250000.0,Concert Touring
245000.0,Law (Big law firm)
245000.0,Hardware
243700.819512195,Journalism
241995.979835796,Manufacturing
240626.392561983,Hospitality
240352.991150442,International Development
240000.0,Marketint
240000.0,Floral
240000.0,Auto parts
238000.0,Cyberspace
237829.0,Television
237385.311052632,Academic Libraries
235000.0,Fashion Footwear
234675.066909754,Higher Education
234058.63559322,State Government
227920.301886792,Education Non-profit
225712.88590604,Higher Ed
225000.0,HR Software
220000.0,Mgmt Consulting
217000.0,Technical
216000.0,Video Game
216000.0,Foundation
215500.0,EPM
215333.333333333,Technology / Finance
215000.0,Retail NIKE
215000.0,"MIL-Aero, Space interconnects"
215000.0,Genealogy
212550.0,Pharma R&D
211213.144827586,Grocery
210000.0,b2b SaaS software
210000.0,Video gaming/Entertainment
210000.0,Promotions
210000.0,Powerline Construction
210000.0,Computer Storage Device Manufacturer
210000.0,Chip design
207744.847435897,Customer Service
207000.0,law (transactional attorney)
206000.0,Self-Driving
206000.0,Business Solutions
205666.666666667,Artificial Intelligence
205553.269230769,Digital Marketing
205500.0,Digital Msidia
205000.0,New Construction
205000.0,K-12 Public Education
202574.496935484,Social Services
200714.285714286,Heathcare
200000.0,YouTuber
200000.0,USG
200000.0,TV/Film/Content
200000.0,Lawyer in med device
200000.0,Interior products
200000.0,IC DESIGN
200000.0,Diagnostics
200000.0,Crude Terminal
200000.0,Ad Agency
195833.333333333,Dentistry
195000.0,Video Game Industry
195000.0,Microelectronics
195000.0,Food management
193575.0,Housing
193000.0,Robotics - Automation
192500.0,Tech - IT department of national insurance company
191944.444444444,Pet care
190348.880597015,Financial
190000.0,Outdoor Equipment
189000.0,Wireless telecommunications
187666.666666667,Web Services
187333.333333333,Science and Technology
187200.0,Commodities Trading
187000.0,Refining
185000.0,Steel Manufacturing
185000.0,Orthotics and Prosthetics
185000.0,Law (in-house)
184397.24,Airline
184033.333333333,E-commerce technology
184000.0,Retail (small business)
182941.574074074,Medical
180000.0,Tech (Social)
180000.0,Special Events
180000.0,Network Telecom
180000.0,Medical lab equipment
180000.0,Autonomous Vehicles
179054.703125,Accounting
178750.0,Home building
177996.263414634,Aerospace
177600.0,Floor laying
175539.911764706,High Tech
175000.0,campground sales / camping pgs.
175000.0,Web Domains
175000.0,National Laboratory
175000.0,Job Search
175000.0,Freelance
175000.0,Defense & Security
174999.655072464,Consulting
174634.833333333,Media and Entertainment
174600.0,Computer technology
172000.0,Military medical
170046.952345679,Media
170000.0,Home insurance
170000.0,HCM Software
170000.0,Engineered thermoplastics
170000.0,Data solutions
170000.0,B to B
169000.0,Tech / Ecomm
168500.0,Back
168333.333333333,Merchant Services
166333.333333333,Cyber
165500.0,Renewable Technology
165000.0,refractory
165000.0,Tech company
165000.0,Storage
165000.0,Receational vehicle sales
165000.0,Outdoor Amusement
165000.0,Mulitnational Manufacturing Conglomerate
165000.0,Embedded Electronic System
165000.0,Clean Tech
165000.0,Auto Racing and Tuning
165000.0,Audio electronics
164400.0,mobile game advertising
163500.0,Mobile Messaging Technology -SaaS
163333.333333333,Biopharma
162657.876,Museum
162228.0,Telecoms
162125.0,Computer Engineering
162068.785714286,Consumer Electronics
162000.0,Media - Diversified
162000.0,Law / Litigation
161000.0,"Social Sector (nonprofits, philanthropy)"
160000.0,Techn
160000.0,Steel mill
160000.0,Ship repair
160000.0,Sales and Management
160000.0,SW engineering
160000.0,Oil plants
160000.0,Defence/Telecom/Medical
160000.0,Biotechs
159250.0,Private
158000.0,Finical
158000.0,Facilities Operation
155500.0,Strategy consulting
155000.0,IT - Manufacturing
155000.0,Customer Experience Design
155000.0,Cloud Infrastructure
155000.0,Cloud
154666.666666667,Consumer Technology
154600.0,Data Science
154500.0,Label and Packaging
153500.0,High-tech manufacturing
151833.333333333,Chemicals
151250.0,B 2 B Services
150560.0,Produce
150000.0,embedded circuit design
150000.0,Web analytics
150000.0,Telecom/Cloud
150000.0,Sexwork
150000.0,Refurbished IT Equipment
150000.0,Post production
150000.0,Mobile Apps
150000.0,Insuatrial
150000.0,Info security
150000.0,IT/Federal Contracting
150000.0,High Tech. Networking equipment
150000.0,Fabrication
150000.0,Data and analytics
150000.0,Bookkeeping
150000.0,Biotech Startup
150000.0,Batteries
149530.961538462,Software Engineering
149000.0,Dept of Defense
148800.0,Aero
148700.0,Commodities
148000.0,Service industry
147500.0,Sales Employement
146171.428571429,Health tech
145140.0,Management
145000.0,mortgage lending
145000.0,Service (law)
145000.0,Retail - Big Data
145000.0,Military (USAF)
145000.0,Forensic Accounting
145000.0,Food flavor industry
144947.368421053,Private Equity
144800.0,Cloud Software
144000.0,Pharma/biotech
144000.0,Oil/Energy
144000.0,Law/Professional Services
144000.0,IT/Media & Entertainment
144000.0,Home Construction
144000.0,Hardware Tech
143500.0,Coatings
143099.333333333,Software/Games
142666.666666667,Tech Sales
142625.0,Film/Video Production
142588.141025641,Public Accounting
142000.0,Domestic staffing
141500.0,Wireless
141333.333333333,Computer Security
141000.0,Satellite technology
141000.0,Chemicals Manufacturing
141000.0,Business Equipment and software solutions
140666.666666667,Network Security
140485.0,Ad Technology
140000.0,Tech/ fintech
140000.0,Tech (Adtech startup)
140000.0,Pump Industry
140000.0,Publisher
140000.0,People Analytics
140000.0,OEM Equipment
140000.0,Nuclear medicine
140000.0,Military education
140000.0,Marine/Dredging
140000.0,Imports
140000.0,IT Training
140000.0,IT / Telecom
140000.0,IT - Real Estate
140000.0,Hydrography
140000.0,Green Energy
140000.0,General Insurance
140000.0,Federal Budget
140000.0,Alcohol beverages
140000.0,AV Freelance
139700.0,Consumer
139000.0,Satellite Communications
139000.0,Retired now
139000.0,Medical credentialling
138142.857142857,Landscape Architecture
138058.0,Project Management
137000.0,Tech (mainly fintech)
137000.0,Iibraries
137000.0,Game Industry
136328.0,Hardware engineering
136250.0,Med Device
136240.0,Retail Healthcare
135800.0,oil logistics
135333.333333333,Software - Fintech
135000.0,medical data
135000.0,Uniform rental
135000.0,Trade Publications
135000.0,Talent Development
135000.0,Strawberry
135000.0,Pharma sales
135000.0,Automotive Electronics
134460.0,Tech Industry
134400.0,Finance/marketing
134000.0,Utility Electric Power
134000.0,Technolo
134000.0,Nuclear Power
134000.0,Insurace
133555.555555556,news media
133505.5,Law (government)
133485.882352941,IT Services
133250.0,Direct to consumer retail
133050.0,Enterprise Software
133000.0,Trailer dealership
132000.0,Lasers
131706.75,Computer Software
131000.0,Optical Networking
131000.0,Credit Card Processing
131000.0,Consumer and Professional Electronics
130568.214285714,Management Consulting
130513.333333333,Technical services
130261.538461538,Gaming
130000.0,Visual Arts
130000.0,User interface web design
130000.0,Trchnology
130000.0,Retail/Wholesale
130000.0,Outsourcing
130000.0,Health & Wellness
130000.0,Ecom
130000.0,Biotech Sales
130000.0,Biotech / Genomics
129634.1,Public Health
128627.0,Human Capital Management
128400.0,Med Tech
128333.333333333,Economic Consulting
128000.0,Change Management Consulting
127766.666666667,Trucking
127750.0,Direct Marketing
127440.0,Chemical distribution
127000.0,Talent Management
127000.0,Infrastructure
127000.0,Attractions
126500.0,Website & Digital Design
126500.0,Vaccine Manufacturing
126500.0,Solid Waste
126500.0,Retail Point of Sale
126240.0,Business coaching
126000.0,Mobile
125225.0,B2B SAAS
125000.0,Tech / non profit
125000.0,Software Research and Development
125000.0,Security Management
125000.0,Pulp & Paper
125000.0,Pipeline
125000.0,Network Hardware
125000.0,Media (TV Advertising)
125000.0,Law (academia)
125000.0,Funding Agency
125000.0,Evaluation & Research (non-profit)
125000.0,Custom Integration
125000.0,Costruction
124433.333333333,Gov't consulting
124397.142857143,Computer
124142.857142857,Coffee
124000.0,refinery
124000.0,Metals & Mining
124000.0,Goverment contractor
123879.5,Services
123844.057142857,Aerospace and Defense
123618.0,Defense Industry
123000.0,Business owner
122900.0,Appliance repair
122800.0,Big Data
122533.333333333,Corporate Training
122500.0,Legal/Law
122333.333333333,Tech/Software
122100.0,Mining processing
122000.0,FED GOV
121000.0,Tire/Automotive Industry
121000.0,Innovation
120750.0,Speech pathology
120166.666666667,Finance/Banking
120000.0,Website Design
120000.0,Water Infrastructure
120000.0,Tech/services
120000.0,Semiconduyor
120000.0,Security Equipment Manufacturing
120000.0,Security Contracting
120000.0,Practice Support
120000.0,Oil & Gas Services
120000.0,Mobile Gaming
120000.0,Legal\Ediscovery
120000.0,Law & Policy
120000.0,IT computers
120000.0,HR Solutions and Staffing
120000.0,Food & Consumer Goods
120000.0,Finance (Wealth Management)
120000.0,Explosives
120000.0,Dental supplies
120000.0,Deft
120000.0,Country Club
120000.0,Constrution
119826.666666667,HR / Tech
119700.0,Finance/REIT
119666.666666667,Finance for the industrial baking industry
119600.0,Public Utilities
119500.0,Process Engineering
119150.0,Petrochemical
119000.0,Utilities - Power
119000.0,Metal
119000.0,Govenment
119000.0,Big Science
118720.5,Analytics
118554.054054054,Consumer Goods
118500.0,Real Estste
118083.596638655,Software Development
118000.0,Website Development Consultancy
118000.0,Rail Passenger
118000.0,Mattress Sales
118000.0,Apparel + Footwear
117900.0,Packaging Materials and Equipment
117800.0,FURNITURE SALES
117500.0,Financial Research
117466.666666667,Hydro Power
117404.28,Renewable energy
117189.2,U.S. Government
117166.666666667,Senior Housing
117000.0,IT Technical Support
117000.0,Cyber threat intelligence
117000.0,Beverage Alcohol
116800.0,CPG Manufacturing
116752.360406091,Automotive
116640.0,Pharmaceutials
116444.052631579,Aerospace & Defense
116000.0,legal for a state agency
116000.0,Water sector / public utilities
116000.0,New Product Development
116000.0,IT/Retail
116000.0,Database marketing
116000.0,College
116000.0,B2B Software Sales
115691.428571429,Consumer Packaged Goods
115669.666666667,Metals
115306.666666667,Medical Sales
115000.0,acoustical engineering consulting
115000.0,Steel Fabrication
115000.0,Local County Government
115000.0,Estate Jewelry Sales
115000.0,Employee Benefits
115000.0,Digital information
115000.0,Casino Gaming
115000.0,Biotech consulting
114900.0,Custom content
114807.142857143,Computer Hardware
114655.0625,Telecom
114300.0,Biomedical
114000.0,Scientific instrument sales
114000.0,Sales--Non-Profit
113280.0,Railway vehicle manufacturing
113118.335,Computing
113000.0,Elementary Education
113000.0,Big Data Technology
112944.444444444,Oil
112800.0,"Tech, big data"
112500.0,IT - Healthcare Insurance
112500.0,Energy (Oil and Gas)
112500.0,Educarion
112500.0,Advanced composites
112273.152173913,Cyber Security
112250.0,Beverage
112200.0,Cable TV
112000.0,Prescription Benefit Management
112000.0,IT security software
112000.0,CPG - Consumer Packaged Goods
112000.0,Business & Technology
111847.0,Petroleum
111833.333333333,Tech/Healthcare
111521.87027027,IT Consulting
111164.545454545,Life Sciences
111031.25,Federal Contracting
111000.0,US Military
111000.0,Highway Engineering
110750.0,Nuclear Energy
110425.0,VFX
110057.894736842,Financial Technology
110000.0,edivatiom3
110000.0,Telcom Expense Management
110000.0,Tech/Urban Development
110000.0,Tech/Startups (Creative focused team)
110000.0,Security Technology
110000.0,Scientific Publishing
110000.0,Ruber Flooring
110000.0,Online sales
110000.0,IoT Devices
110000.0,IT Managed Services
110000.0,IT / web development
110000.0,General Aviation
110000.0,Elevator
110000.0,CAD/CAM
110000.0,Biochemistry- pharmaceuticals
110000.0,Aviation/Medicine
109864.090909091,Nuclear
109820.0,Lawn Care
109500.0,Reinsurance
109500.0,Missile Defense
109500.0,Flooring
109064.0,Contracting
109000.0,Scientific association
108750.0,Steam heating
108726.0,STEM-focused non-profit
108500.0,Power and Utilites Software
108000.0,Beauty CPG
108000.0,BSA/AML Compliance
107888.888888889,Online Media
107871.666666667,Technology/Automotive
107660.8,Retail (Corporate office)
107625.0,Finance & Investments
107500.0,Logistics & Distribution
107500.0,Facility Services
107500.0,Aviation manufacturing
107500.0,Airlines
107380.0,Location technology
107314.666666667,Business Development
107250.0,Finance and Technology
107000.0,radio astronomy
107000.0,Military Contracting
107000.0,Infotech
107000.0,"Higher Ed, Software"
107000.0,Govenrment
107000.0,Benefits
106627.0,"Space, Government"
106625.0,Power Generation
106533.333333333,Water Utility
106500.0,Staffing & Recruiting
106250.0,SASS / Technology
106200.0,Supranational organisation
106187.5,Commercial Construction
106000.0,Benefits Administration
105500.0,Oilfield
105333.333333333,Legal Industry
105214.285714286,US Federal Government
105000.0,home health
105000.0,Web publishing/Media
105000.0,Thermo Electrics
105000.0,Quasi-governmental economic research
105000.0,Media and ad tech
105000.0,MEP Firm
105000.0,Fixed Income Trading
105000.0,Fiancial institution
105000.0,E-discovery
105000.0,Content Service Provider
105000.0,Aviation/Telecom
105000.0,Analytical Chemistry
104900.9,Auto sales
104500.0,Politics/Government
104500.0,Heavy Industry/Manfuactruing
104500.0,Food Ingredients
104349.0,Fire service
104176.0,Legal - federal government
104091.818181818,Networking
104000.0,"Technology, Online Community"
104000.0,Security (federal govt contractor)
104000.0,Mental Heath/Education
104000.0,Gov Tech
104000.0,Database/textbook publishing
104000.0,Car Rental Industry
103666.666666667,Agribusiness
103554.0,EdTech
103300.0,AutoFinance
103104.615384615,Structural Engineering
103000.0,Primary Education
103000.0,Law/Finance
103000.0,Educatio
102866.666666667,Plastics
102600.0,Tech manufacturing
102500.0,Eye Care
102500.0,Conference production
102500.0,Brand / Marketing
102416.666666667,Health IT
102399.0,Gas and Oil Production
102142.857142857,Tech startup
102000.0,Utilities Engineering
102000.0,Tech/Cloud Computing Provider
102000.0,Spirits/Retail
102000.0,Big Four Accounting
102000.0,Aviation Support Services
102000.0,Academia - Private K-12
101772.412857143,University research
101666.666666667,Intelligent Transportation Systems
101592.0,Public Agency
101325.0,Gov't Contractor
101250.0,Ecosystem Restoration
101000.0,trade
101000.0,Tax/Legal
101000.0,In house legal dept
101000.0,Academia - Public Health
100789.62962963,Chemical
100650.0,Pulp and Paper
100500.0,Spring Manufacturing
100412.947368421,Chemical Manufacturing
100000.0,timeshare
100000.0,digital technology and advertising
100000.0,Warehouse maintenance
100000.0,Various
100000.0,User Experience
100000.0,Theatre Entertainment
100000.0,Tech / Speech Recognition
100000.0,Tech / Agriculture
100000.0,Tech - web development
100000.0,Structured Settlements
100000.0,Retail/CPG
100000.0,Retail Consulting
100000.0,Retail Automotive Tools
100000.0,Power Solutions
100000.0,Nuclear Contracting
100000.0,Legal / Insurance
100000.0,Laboratory Automation
100000.0,IT- Airline
100000.0,High tech service
100000.0,High Tech R&D
100000.0,Hdhsh
100000.0,HVAC Manufacturing
100000.0,Digital Publishing
100000.0,CBD Industry
100000.0,Business association
99900.0,IT Telecommunications
99500.0,Corrugated
99350.0,Commercial Property Management
99250.0,Benefits Consulting
99120.0,ngo education
99021.4285714286,Marine
99000.0,Tech (for HR)
99000.0,Recreational Vehicle sales
98985.5,Philanthropy
98436.0,Medical Manufacturing
98416.6666666667,Beverage Industry
98383.3333333333,Retired
98279.9166666667,Design Consultancy
98255.0,Games software development
98175.0,School services and recognition products
98028.5714285714,Compliance
98000.0,Religious leader
98000.0,Metal manufacturing
98000.0,IT Contracting
98000.0,Cruise Ship
97903.6666666667,Department of Defense - contractor
97850.0,Hotels/Hospitality
97825.0,Risk Management
97720.7159090909,Industrial
97666.6666666667,Business Process Improvement
97550.8333333333,SaaS
97500.0,Restoration
97500.0,Media - print newspaper
97222.2222222222,Material Handling
97120.0,Video Games
97025.0,Health technology
97000.0,Medical - IT
97000.0,Amusement
96900.0,Media / Professional Association
96792.1052631579,PR
96500.0,Heavy equipment
96211.6666666667,Mechanical Engineering
96200.0,Passive fire protection
96000.0,video game marketing
96000.0,Video Game Development
96000.0,Telecom Construction
96000.0,Science/database
96000.0,Retail/Hospitality
96000.0,Process Automation
96000.0,Political
96000.0,HEAVY DUTY
95900.0,Poker
95900.0,M&A
95693.5714285714,Training
95600.0,Furniture
95500.0,Federal defender
95200.0,Cannabis
95166.6666666667,Media Research
95000.0,Technology Recruiting
95000.0,Tech/Telecom
95000.0,Tech/ Internet
95000.0,Powersports
95000.0,Outdoor Sports
95000.0,Media/Publishing
95000.0,HVAC building engineer
95000.0,Finance/Advertising
95000.0,Film / TV
95000.0,Farming
95000.0,Digital solutions/web
95000.0,Coporate Finance
95000.0,Community Foundation
95000.0,Archiving/Tech
95000.0,Actuarial Consulting
94954.4,Web
94714.2857142857,Executive Search
94683.4545454545,Building materials
94517.3529411765,Business Services
94500.0,Tax Law
94400.0,footwear
94250.0,Talent Acquisition
94250.0,Managed Care
94000.0,Self-published writer
94000.0,Nursing/insurance
94000.0,Cosmetics / Consumer Goods
93837.0,Film Production
93833.3333333333,Sporting Goods
93560.0,Facilities
93500.0,Private law firm
93500.0,Fraud prevention
93333.3333333333,Corrections
93255.0,Banking & Technology
93037.5,Corporate Retail
93000.0,RF Engineering
93000.0,Power Systems
93000.0,Optometry
93000.0,Health & Fitness
93000.0,Big tech
93000.0,Automobile Dealership
92920.0,Mining and construction
92875.0,Clinical Trials
92800.0,Finance/Telecommunications
92562.5,R&D
92560.0,Commercial Insurance
92496.075862069,Public sector
92335.22,Healtcare
92262.5,Federal Libraries
92250.0,Film Industry
92174.0,Steel
92125.4545454545,Tax
92000.0,Wholesale Grocery
92000.0,US congress
92000.0,Real Estate / Construction
92000.0,Politics state level
92000.0,Arts & Media
91900.0,Package Manufacturing
91803.7730769231,Research
91790.0,Trust and company administration
91790.0,Digital services
91600.0,Lawyer
91375.0,oil refining
91287.9375,Corporate communications
91168.7096774193,Fashion
91000.0,State and Local Governement
91000.0,Aircraft Maintenance
90963.5,Hospitals / Healthcare
90602.8571428571,Finance/Accounting
90333.3333333333,Health and Disability Insurance
90220.0,Real Estate (Public Sector)
90030.0,Automation Engineering
90020.0,Facilities Management
90000.0,retail (multi-state chain)
90000.0,eClinical Software
90000.0,controls
90000.0,Test Preparation
90000.0,"Tech, Food & Beverage"
90000.0,Tech Innovation
90000.0,Social Enterprise
90000.0,Shipbuilding
